label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
0,,2,632.0,0.0,56770.0,,0.0,5.0,65.0,,0.0,,2.0,05db9164,0468d672,7ae80d0f,80d8555a,25c83c98,7e0ccccf,04277bf9,0b153874,7cc72ec2,3b08e48b,7e2c5c15,cfc86806,91a1b611,b28479f6,58251aab,146a70fd,776ce399,0b331314,21ddcdc9,5840adea,cbec39db,,3a171ecb,cedad179,ea9a246c,9a556cfc
0,0.0,6,6.0,6.0,421.0,109.0,1.0,7.0,107.0,0.0,1.0,,6.0,05db9164,9b5fd12f,,,4cf72387,,111121f4,0b153874,a73ee510,3b08e48b,ac9c2e8f,,6e2d6a15,07d13a8f,796a1a2e,,d4bb7bd8,8aaa5b67,,,,,32c7478e,,,
1,0.0,-1,,,1465.0,0.0,17.0,0.0,4.0,0.0,4.0,,,241546e0,38a947a1,fa673455,6a14f9b9,25c83c98,fe6b92e5,1c86e0eb,1f89b562,a73ee510,e7ba2569,755e4a50,208d9687,5978055e,07d13a8f,5182f694,f8b34416,e5ba7672,e5f8f18f,,,f3ddd519,,32c7478e,b34f3128,,
1,,2,11.0,5.0,10262.0,34.0,2.0,4.0,5.0,,1.0,,5.0,be589b51,287130e0,cd7a7a22,fb7334df,25c83c98,,6cdb3998,361384ce,a73ee510,3ff10fb2,5874c9c9,976cbd4c,740c210d,1adce6ef,310d155b,07eb8110,07c540c4,891589e7,18259a83,a458ea53,a0ab60ca,,32c7478e,a052b1ed,9b3e8820,8967c0d2
0,0.0,51,84.0,4.0,3633.0,26.0,1.0,4.0,8.0,0.0,1.0,,4.0,5a9ed9b0,80e26c9b,97144401,5dbf0cc5,0942e0a7,13718bbd,9ce6136d,0b153874,a73ee510,2106e595,b5bb9d63,04f55317,ab04d8fe,1adce6ef,0ad47a49,2bd32e5c,3486227d,12195b22,21ddcdc9,b1252a9d,fa131867,,dbb486d7,8ecc176a,e8b83407,c43c3f58
0,,2,1.0,18.0,20255.0,,0.0,1.0,1306.0,,0.0,,20.0,05db9164,bc6e3dc1,67799c69,d00d0f35,4cf72387,7e0ccccf,ca4fd8f8,64523cfa,a73ee510,3b08e48b,a0060bca,b9f28c33,22d23aac,5aebfb83,d702713a,0f655650,776ce399,3a2028fd,,,b426bc93,,3a171ecb,2e0a0035,,
1,1.0,987,,2.0,105.0,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,68fd1e64,38d50e09,da603082,431a5096,43b19349,7e0ccccf,3f35b640,0b153874,a73ee510,3b08e48b,3d5fb018,6aaab577,94172618,07d13a8f,ee569ce2,2f03ef40,d4bb7bd8,582152eb,21ddcdc9,b1252a9d,3b203ca1,,32c7478e,b21dc903,001f3601,aa5f0a15
0,0.0,1,,0.0,16597.0,557.0,3.0,5.0,123.0,0.0,1.0,,1.0,8cf07265,7cd19acc,77f2f2e5,d16679b9,4cf72387,fbad5c96,8fb24933,0b153874,a73ee510,0095a535,3617b5f5,9f32b866,428332cf,b28479f6,83ebd498,31ca40b6,e5ba7672,d0e5eb07,,,dfcfc3fa,ad3062eb,32c7478e,aee52b6f,,
0,0.0,24,4.0,2.0,2056.0,12.0,6.0,10.0,83.0,0.0,1.0,,2.0,05db9164,f0cf0024,08b45d8b,cbb5af1b,384874ce,fbad5c96,81bb0302,37e4aa92,a73ee510,175d6c71,b7094596,1c547463,1f9d2c38,1adce6ef,55dc357b,0ca69655,e5ba7672,b04e4670,21ddcdc9,b1252a9d,f3caefdd,,32c7478e,4c8e5aef,ea9a246c,9593bba9
0,7.0,102,,3.0,780.0,15.0,7.0,15.0,15.0,1.0,1.0,,3.0,3c9d8785,b0660259,3a960356,15c92ddb,4cf72387,13718bbd,00c46cd1,0b153874,a73ee510,62cfc6bd,8cffe207,656e5413,ff5626de,ad1cc976,27b1230c,fa8d05aa,e5ba7672,5edd90de,,,e12ce348,,c3dc6cef,49045073,,
1,,47,,0.0,6399.0,38.0,19.0,10.0,143.0,,10.0,,6.0,1464facd,38a947a1,223b0e16,ca55061c,25c83c98,7e0ccccf,6933dec1,5b392875,a73ee510,3b08e48b,860c302b,156f99ef,30735474,1adce6ef,0e78291e,5fbf4a84,e5ba7672,1999bae9,,,deb9605d,,32c7478e,e448275f,,
0,0.0,1,80.0,0.0,1848.0,287.0,1.0,4.0,46.0,0.0,1.0,,4.0,05db9164,09e68b86,13b87f72,13a91973,25c83c98,7e0ccccf,cc5ed2f1,0b153874,a73ee510,3b08e48b,081c279a,d25f00b6,9f16a973,07d13a8f,36721ddc,1746d357,d4bb7bd8,5aed7436,a153cea2,a458ea53,dd37e0d1,,32c7478e,c70a58f2,e8b83407,af7ece63
0,,0,14.0,6.0,7132.0,171.0,2.0,2.0,6.0,,1.0,,6.0,05db9164,38a947a1,e88a1d4c,8eb9aec7,25c83c98,fbad5c96,3fd38f3b,5b392875,a73ee510,5162b19c,7c430b79,4ac05ba7,7f0d7407,b28479f6,d1128331,ce881087,07c540c4,5d93f8ab,,,57d0811b,,3a171ecb,1793a828,,
0,,9,9.0,17.0,11774.0,,0.0,23.0,128.0,,0.0,,17.0,05db9164,08d6d899,cf59444f,60d5f5a7,25c83c98,7e0ccccf,38850d41,0b153874,a73ee510,6e7947ce,49aeb6a9,1d00cbc4,8f7e5dc7,07d13a8f,41f10449,b93ac0ad,1e88c74f,698d1c68,,,bf8efd4c,,c7dc6720,f96a556f,,
0,0.0,1,2.0,,6190.0,84.0,1.0,27.0,71.0,0.0,1.0,,,5a9ed9b0,3df44d94,d032c263,c18be181,25c83c98,7e0ccccf,a0845add,0b153874,a73ee510,967857d1,e469acef,dfbb09fb,849a0a56,07d13a8f,72d05a1c,84898b2a,d4bb7bd8,e7648a8f,,,0014c32a,c9d4222a,3a171ecb,3b183c5c,,
0,,4,16.0,,5925.0,2.0,2.0,0.0,0.0,,1.0,,,5a9ed9b0,09e68b86,64094ddd,b0a4d1e3,25c83c98,,b87f4a4a,0b153874,a73ee510,2124a520,319687c9,b51dc799,62036f49,64c94865,91126f30,1a00d73c,07c540c4,5aed7436,aa0cf899,a458ea53,c30dce78,,32c7478e,3fdb382b,e8b83407,49d68486
1,0.0,1,20.0,16.0,1548.0,93.0,42.0,32.0,912.0,0.0,15.0,1.0,16.0,8cf07265,942f9a8d,a8e40bcf,0365276a,25c83c98,7e0ccccf,3f4ec687,1f89b562,a73ee510,726f00fd,c4adf918,27c604a6,85dbe138,07d13a8f,a8e962af,c449f783,27c07bd6,1f868fdd,21ddcdc9,a458ea53,7eee76d1,,32c7478e,9af06ad9,9d93af03,cdfe5ab7
1,0.0,20,2.0,2.0,7188.0,170.0,2.0,3.0,24.0,0.0,2.0,0.0,2.0,68fd1e64,38a947a1,ee6e4611,30d9fc77,4cf72387,7e0ccccf,bf9d4f90,0b153874,a73ee510,b7c4dad5,81cae03e,5332e3fb,d413ef3e,07d13a8f,a6d97bf2,ec676ace,3486227d,02e8d897,,,b055c31b,,3a171ecb,ae2cd100,,
1,0.0,78,2.0,15.0,4311.0,85.0,4.0,18.0,230.0,0.0,3.0,,15.0,68fd1e64,1287a654,5ed035c9,5b5365b2,4cf72387,6f6d9be8,1b1aa9ea,0b153874,a73ee510,c3e69838,7a3651f5,df8b1dea,95bc260c,b28479f6,ced5be3a,4cc0abe4,e5ba7672,df00d249,,,f520f961,,32c7478e,27b60b01,,
1,3.0,0,4.0,13.0,224.0,28.0,3.0,35.0,27.0,1.0,1.0,,13.0,05db9164,90081f33,993f507e,14a74146,25c83c98,13718bbd,dc7659bd,0b153874,a73ee510,03e48276,e51ddf94,18fe7085,3516f6e6,64c94865,98995c3b,8c48eb08,e5ba7672,7181ccc8,,,2ed6b316,,3a171ecb,abf08f1b,,
1,,277,,3.0,7318.0,24.0,6.0,3.0,98.0,,1.0,,3.0,8cf07265,9adf4cf9,2e76fb61,0b1ad9da,4cf72387,fe6b92e5,75dcaaca,0b153874,a73ee510,3b08e48b,8aabdae8,9886a0a7,edcf17ce,07d13a8f,2aaebd23,338c0d09,e5ba7672,c7dbecd5,,,60d2d691,,3a171ecb,90b6276f,,
0,,-1,,,4956.0,,0.0,37.0,97.0,,0.0,,,be589b51,4c2bc594,d032c263,c18be181,25c83c98,fe6b92e5,aa0d873c,0b153874,a73ee510,3b08e48b,868744ab,dfbb09fb,9dfda2b9,8ceecbc8,7ac43a46,84898b2a,776ce399,bc48b783,,,0014c32a,,55dd3565,3b183c5c,,
0,1.0,0,1.0,,1427.0,3.0,16.0,11.0,50.0,0.0,2.0,1.0,,05db9164,26a88120,615e3e4e,2788fed8,4cf72387,7e0ccccf,3f4ec687,0b153874,a73ee510,0e9ead52,c4adf918,f5d19c1c,85dbe138,07d13a8f,24ff9452,1034ac0d,3486227d,b486119d,,,63580fba,,32c7478e,2a90c749,,
0,4.0,0,55.0,8.0,859.0,13.0,4.0,12.0,13.0,1.0,1.0,,8.0,05db9164,e5fb1af3,4b644986,5dbf0cc5,25c83c98,,cc5ed2f1,0b153874,a73ee510,3b08e48b,facf05cc,6d89b6a5,9f16a973,cfef1c29,1e744fde,2bd32e5c,776ce399,13145934,21ddcdc9,a458ea53,1419c3fc,,32c7478e,8ecc176a,e8b83407,a70a038a
1,1.0,259,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,3.0,,1.0,05db9164,f3b07830,ad981000,f96c819d,25c83c98,,df5c2d18,0b153874,a73ee510,8aef4905,a7b606c4,b912be9f,eae197fd,b28479f6,d27eed0e,b8b09fe6,e5ba7672,048d01f4,,,08ae854d,,32c7478e,c657e6e5,,
1,0.0,127,1.0,3.0,1683.0,19.0,26.0,17.0,475.0,0.0,9.0,0.0,3.0,05db9164,8947f767,11c9d79e,52a787c8,4cf72387,fbad5c96,18671b18,0b153874,a73ee510,ceb10289,77212bd7,79507c6b,7203f04e,07d13a8f,2c14c412,49013ffe,8efede7f,bd17c3da,f6a3e43b,a458ea53,35cd95c9,ad3062eb,c7dc6720,3fdb382b,010f6491,49d68486
0,,1,,,23255.0,,0.0,1.0,73.0,,0.0,,,7e5c2ff4,d833535f,b00d1501,d16679b9,25c83c98,7e0ccccf,65c53f25,1f89b562,a73ee510,3b08e48b,ad2bc6f4,e0d76380,39ccb769,b28479f6,a733d362,1203a270,776ce399,281769c2,,,73d06dde,,32c7478e,aee52b6f,,
0,6.0,-1,,,915.0,40.0,26.0,33.0,72.0,1.0,3.0,,,9a89b36c,4f25e98b,9042c4ea,343f8ed3,25c83c98,fbad5c96,27cc0b50,0b153874,a73ee510,f364a867,7671c62f,00750e7a,1fa0660e,b28479f6,df2f73e9,4f71659c,e5ba7672,bc5a0ff7,21ddcdc9,a458ea53,706ee322,c9d4222a,bcdee96c,990a118a,001f3601,47b6f269
0,0.0,0,3.0,12.0,7308.0,97.0,2.0,21.0,90.0,0.0,1.0,,12.0,68fd1e64,9adf4cf9,723c059c,4c942c6d,4cf72387,7e0ccccf,ce4f7f55,0b153874,a73ee510,d7026747,38f692a7,ab60a748,6e5da64f,1adce6ef,808ff1bc,c23fc7ec,e5ba7672,2a93f7c8,,,5dc9a057,,32c7478e,90b6276f,,
0,8.0,0,15.0,20.0,115.0,24.0,8.0,23.0,24.0,2.0,2.0,,20.0,5a9ed9b0,c66fca21,78171040,373c404a,25c83c98,,8ff6f5af,0b153874,a73ee510,5ba575e7,b5a9f90e,6766a7f0,949ea585,1adce6ef,8736735c,59974c9c,8efede7f,1304f63b,21ddcdc9,b1252a9d,07b2853e,,32c7478e,94bde4f2,010f6491,09b76f8d
0,,38,2.0,4.0,3119.0,149.0,64.0,48.0,139.0,,6.0,6.0,4.0,05db9164,26a88120,d032c263,c18be181,4cf72387,fbad5c96,3f4ec687,1f89b562,a73ee510,726f00fd,c4adf918,dfbb09fb,85dbe138,07d13a8f,040ec437,84898b2a,8efede7f,57598e25,,,0014c32a,,32c7478e,3b183c5c,,
1,88.0,319,,4.0,5.0,4.0,89.0,40.0,88.0,3.0,4.0,12.0,4.0,05db9164,08d6d899,333440d5,fc86bde0,25c83c98,fbad5c96,f00bddf8,0b153874,a73ee510,83ff688a,55795b33,1b0c8aa3,39795005,b28479f6,bffbd637,4a838997,8efede7f,bbf70d82,,,16e2e3b3,,32c7478e,d859b4dd,,
0,,1,18.0,5.0,1683.0,80.0,38.0,5.0,95.0,,5.0,0.0,5.0,05db9164,09e68b86,aa8c1539,85dd697c,25c83c98,,2903ead3,0b153874,a73ee510,bcc8b4c6,a0a5e9d7,d8c29807,ee79db7b,1adce6ef,dcd06253,c64d548f,3486227d,63cdbb21,cf99e5de,a458ea53,5f957280,,32c7478e,1793a828,e8b83407,b7d9c3bc
0,,27,,,112878.0,2106.0,0.0,2.0,95.0,,0.0,,,5a9ed9b0,38a947a1,2d8004c4,40ed41e5,25c83c98,7e0ccccf,4d9d55ae,5b392875,7cc72ec2,3b08e48b,55065437,ad972965,80dcea18,07d13a8f,c68ba31d,1206a8a1,d4bb7bd8,e96a7df2,,,54d8bb06,,3a171ecb,a415643d,,
0,0.0,-1,,,4894.0,20.0,1.0,7.0,20.0,0.0,1.0,,,05db9164,4c2bc594,d032c263,c18be181,43b19349,7e0ccccf,7f52e00f,0b153874,a73ee510,48a4f593,bca79aeb,dfbb09fb,5218d824,8ceecbc8,7ac43a46,84898b2a,07c540c4,bc48b783,,,0014c32a,c9d4222a,3a171ecb,3b183c5c,,
0,0.0,32,,1.0,9375.0,,0.0,37.0,18.0,0.0,0.0,0.0,1.0,05db9164,d833535f,ad4b77ff,d16679b9,25c83c98,7e0ccccf,9d547ce0,5b392875,a73ee510,3b08e48b,868a9e47,a2f4e8b5,fc5dea81,b28479f6,a733d362,89052618,3486227d,281769c2,,,d4703ebd,,32c7478e,aee52b6f,,
0,,6,6.0,15.0,20213.0,507.0,7.0,42.0,360.0,,2.0,0.0,40.0,05db9164,0ca4b7d7,d032c263,c18be181,4cf72387,7e0ccccf,e9396c09,c8ddd494,a73ee510,3b08e48b,a0060bca,dfbb09fb,22d23aac,1adce6ef,9014f0f9,84898b2a,e5ba7672,c786d1ea,,,0014c32a,,32c7478e,3b183c5c,,
0,31.0,17,2.0,11.0,290.0,23.0,31.0,23.0,65.0,2.0,2.0,,11.0,05db9164,4f25e98b,03280284,5214fda3,25c83c98,fbad5c96,0c41b6a1,0b153874,a73ee510,fa642b71,4ba74619,60bab41d,879fa878,07d13a8f,5be89da3,b6acbd10,e5ba7672,bc5a0ff7,fae651c5,a458ea53,3792328c,c0061c6d,423fab69,7a8e7ed6,001f3601,f159b6cb
0,1.0,2382,13.0,4.0,40.0,4.0,69.0,3.0,609.0,1.0,11.0,0.0,4.0,05db9164,38a947a1,933cc823,b1c1e580,25c83c98,fe6b92e5,002fdf0c,1f89b562,a73ee510,61f70369,a4ea009a,2562cf3c,1e9339bc,b28479f6,f5bfabbd,03dee53f,e5ba7672,b3e92443,,,be661a75,,c7dc6720,67d37917,,
0,0.0,190,,,1624.0,6.0,29.0,6.0,74.0,0.0,9.0,,,68fd1e64,c41a84c8,0a266224,759c4a2e,25c83c98,,804d2f11,0b153874,a73ee510,2860ede1,1aa6cf31,99dfd83a,3b03d76e,b28479f6,e3eb97c7,62b5674b,e5ba7672,5911fc7e,,,28ee216d,,32c7478e,590b856f,,
0,0.0,19,8.0,9.0,1506.0,31.0,3.0,7.0,34.0,0.0,1.0,,9.0,05db9164,8947f767,100a3803,ad1b5124,30903e74,7e0ccccf,bb3b7ab9,c8ddd494,a73ee510,3b08e48b,90b202b5,d377c333,3a9dafb8,b28479f6,a473257f,68d2c2b9,8efede7f,bd17c3da,e51f040f,a458ea53,79c3f011,,bcdee96c,fe35ffe2,010f6491,987ea0be
1,1.0,30,,3.0,116.0,31.0,1.0,3.0,3.0,1.0,1.0,,3.0,5a9ed9b0,38a947a1,0f90b6d6,16b922ed,25c83c98,fbad5c96,17b47bf9,0b153874,a73ee510,3b08e48b,76120d9d,ee2d3fdb,d4384424,07d13a8f,3046a70a,81371cbc,d4bb7bd8,1bae7658,,,37bad455,ad3062eb,3a171ecb,9d96bacb,,
0,,6,2.0,3.0,2779.0,,0.0,3.0,13.0,,0.0,,3.0,fb174e6b,47e8ab98,b009d929,c7043c4b,384874ce,,646e7593,0b153874,a73ee510,3b08e48b,d05acfa9,3563ab62,969e14fd,1adce6ef,bfa6d08a,b688c8cc,8efede7f,eb4d3f8a,21ddcdc9,5840adea,2754aaf1,,55dd3565,3b183c5c,f55c04b6,491eeeef
0,0.0,2,22.0,3.0,4687.0,242.0,6.0,6.0,183.0,0.0,1.0,4.0,3.0,05db9164,287130e0,c09cf4ef,bc8d1aa6,25c83c98,13718bbd,1919941b,37e4aa92,a73ee510,6c47047a,86c05043,c4bba41d,2ecea536,b28479f6,9efd8b77,ac2e5095,8efede7f,891589e7,2efde463,b1252a9d,dc4e98e3,,3a171ecb,ee42de86,e8b83407,a00829e6
0,,55,16.0,7.0,1696.0,72.0,2.0,7.0,95.0,,2.0,,7.0,5bfa8ab5,89ddfee8,00e2b23c,10d65c35,25c83c98,7e0ccccf,ad3508b1,5b392875,a73ee510,fc3680e8,ad757a5a,f400e021,93b18cb5,1adce6ef,34cce7d2,9e87470c,e5ba7672,5bb2ec8e,7a45f7f2,a458ea53,a13d5eab,,423fab69,faf5d8b3,f0f449dd,a8cf207e
0,6.0,0,28.0,0.0,31.0,0.0,6.0,0.0,0.0,1.0,1.0,,0.0,8cf07265,287130e0,c1ba4c5a,16fe249c,25c83c98,7e0ccccf,c1225605,985e3fcb,a73ee510,ede207dc,f29b9ed2,469027a9,7eaf6f1a,07d13a8f,10040656,8f13519e,e5ba7672,891589e7,6f3756eb,5840adea,f4095a39,,c7dc6720,1793a828,e8b83407,a475662f
0,0.0,19,9.0,3.0,14414.0,1353.0,3.0,1.0,362.0,0.0,1.0,0.0,3.0,be589b51,09e68b86,4bee8a47,5031d726,25c83c98,7e0ccccf,197b4575,322e63df,a73ee510,6c47047a,48876b80,6f95f18b,e40e52ae,07d13a8f,36721ddc,3d66d729,8efede7f,5aed7436,21ddcdc9,a458ea53,3c1a8dd8,,3a171ecb,3fdb382b,b9266ff0,49d68486
0,,18,12.0,8.0,8965.0,44.0,2.0,12.0,57.0,,2.0,0.0,8.0,05db9164,d7988e72,5eee7056,c1a3acf5,afcf7897,,96825c8f,0b153874,a73ee510,bc283a64,2df02cf1,f71904ea,03232503,b28479f6,c8389df7,0db58836,07c540c4,0f2f9850,5fd56cf9,b1252a9d,96725293,,32c7478e,2702453c,8b8de563,303cea07
0,,1,2.0,0.0,177674.0,,0.0,3.0,2.0,,0.0,0.0,1.0,87552397,207b2d81,6e136288,4f938621,25c83c98,7e0ccccf,8025502e,6c41e35e,7cc72ec2,4072f40f,29e4ad33,64ddde07,80467802,07d13a8f,0bf0feff,0c41b634,e5ba7672,fa0643ee,21ddcdc9,b1252a9d,b4031b95,,3a171ecb,a81956df,001f3601,b1262ddd
0,,0,20.0,0.0,4412.0,855.0,0.0,4.0,522.0,,0.0,,5.0,05db9164,58e67aaf,54e3c628,9725d851,25c83c98,7e0ccccf,5b18f3d9,0b153874,a73ee510,ad0b97fb,720446f5,92409ea2,034e5f3b,07d13a8f,10935a85,05c5cfbe,d4bb7bd8,c21c3e4c,6f62a118,b1252a9d,54d0b766,,c7dc6720,2913df0f,9b3e8820,bc7f21c2
0,,56,2.0,,,,0.0,0.0,1.0,,0.0,,,5a9ed9b0,8084ee93,02cf9876,c18be181,25c83c98,fbad5c96,af0809a5,5b392875,7cc72ec2,3b08e48b,9e12e146,8fe001f4,025225f2,b28479f6,16d2748c,36103458,2005abd1,003d4f4f,,,e587c466,,be7c41b4,3b183c5c,,
0,,76,5.0,,46200.0,,,7.0,,,,0.0,,68fd1e64,287130e0,7555338e,e161fae2,25c83c98,7e0ccccf,ce17d537,0b153874,7cc72ec2,ed111662,5b225578,f34e8f6a,d1be539d,07d13a8f,10040656,8ec308fc,3486227d,891589e7,21ddcdc9,5840adea,182fdd1a,,c7dc6720,6c1cdd05,ea9a246c,1219b447
0,39.0,8,42.0,32.0,27.0,33.0,39.0,24.0,32.0,1.0,1.0,,32.0,05db9164,73a46ff0,844ce0a4,9bb11257,4cf72387,7e0ccccf,ff3f3dda,0fb392dd,a73ee510,3b08e48b,e2217f93,1d0b8187,da9ee8bd,1adce6ef,d57668e2,4372eb4b,e5ba7672,da507f45,21ddcdc9,5840adea,ecb5cd6f,,32c7478e,6dbd889f,ea9a246c,33ced911
1,,0,55.0,5.0,14477.0,,0.0,5.0,1.0,,0.0,,5.0,05db9164,09e68b86,2beedeb2,c59396e7,25c83c98,7e0ccccf,a972360e,0b153874,7cc72ec2,acf0058d,9e511730,8f70e33a,04e4a7e0,64c94865,91126f30,6df0eed9,e5ba7672,5aed7436,55dd3565,5840adea,c412f773,,3a171ecb,3fdb382b,e8b83407,ccc71a58
0,1.0,1,5.0,8.0,7.0,8.0,1.0,8.0,8.0,1.0,1.0,0.0,8.0,05db9164,8e4f887c,,,25c83c98,13718bbd,47802627,5b9f3341,a73ee510,fbbf2c95,42e01668,,79db54f6,07d13a8f,b708086d,,d4bb7bd8,4b340164,,,,,3a171ecb,,,
1,,1,7.0,3.0,10087.0,67.0,6.0,3.0,57.0,,3.0,,3.0,05db9164,d7988e72,fb535e16,6fe3d332,25c83c98,13718bbd,2829f187,66f29b89,a73ee510,e034d733,3a9c7259,8e86918c,0d8d4492,07d13a8f,194c42a4,57236df8,e5ba7672,0f2f9850,c27239bd,5840adea,841f2712,,3a171ecb,1793a828,e8b83407,b820b6c5
0,7.0,1,40.0,,1418.0,23.0,147.0,0.0,7.0,0.0,4.0,0.0,,68fd1e64,80e26c9b,ba1947d0,85dd697c,25c83c98,7e0ccccf,16401b7d,a61cc0ef,a73ee510,3b08e48b,20ec800a,34a238e0,18a5e4b8,b28479f6,a785131a,da441c7e,e5ba7672,005c6740,21ddcdc9,5840adea,8717ea07,,32c7478e,1793a828,e8b83407,b9809574
0,,0,10.0,2.0,3545.0,,0.0,2.0,3.0,,0.0,,2.0,be589b51,e5fb1af3,50808b4e,39ec3719,25c83c98,13718bbd,316949b7,5b392875,a73ee510,3b08e48b,d51f40d7,75ef3efe,4eb5dabc,07d13a8f,b5de5956,d5cb04e4,776ce399,13145934,21ddcdc9,b1252a9d,1d4696ef,,32c7478e,39fe175c,e8b83407,1c7f8927
0,5.0,51,,5.0,457.0,5.0,5.0,7.0,11.0,1.0,1.0,1.0,5.0,ae82ea21,9e5ce894,e1120103,13508380,25c83c98,7e0ccccf,6855ef53,0b153874,a73ee510,175d6c71,b7094596,d19a1cc6,1f9d2c38,07d13a8f,8cf98699,e58b9a62,3486227d,a5bb7b8a,1d1eb838,a458ea53,2eb5be02,ad3062eb,c7dc6720,45ab94c8,ea9a246c,c84c4aec
0,0.0,0,15.0,2.0,20112.0,305.0,1.0,43.0,228.0,0.0,1.0,,30.0,05db9164,0a519c5c,02cf9876,c18be181,25c83c98,7e0ccccf,fe4e75fa,0b153874,a73ee510,6aea41c7,8f4f8f83,8fe001f4,8828a59c,07d13a8f,4ac81a35,36103458,d4bb7bd8,416e8695,,,e587c466,,93bad2c0,3b183c5c,,
0,0.0,1,4.0,3.0,1689.0,184.0,12.0,46.0,53.0,0.0,1.0,,3.0,8cf07265,207b2d81,d6be853a,4842a03d,384874ce,fe6b92e5,209d1929,5b392875,a73ee510,9eff685e,87fe3e10,dadde5ca,3bd6c21d,b28479f6,3c767806,6077db2c,e5ba7672,395856b0,21ddcdc9,a458ea53,ae7b2d98,,32c7478e,b8942a02,001f3601,4a6648b5
